Rinf,s50,c,sigma
310.2,243.98,1.3373,0.39934
392.91,259.31,1.4606,0.31443
370.28,265.25,1.3743,0.34412
283.94,187.14,1.4827,0.30049
274.52,171.42,1.5553,0.33311
376.31,251.11,1.4051,0.2803
381.29,253.21,1.4299,0.33319
328.69,246.03,1.3248,0.32066
378.22,275.27,1.3145,0.34022
362.42,270.37,1.3638,0.34564
388.2,257.89,1.4036,0.36046
324.67,234.67,1.4703,0.36417
318.11,239.61,1.3891,0.37806
372.66,245.81,1.4556,0.34752
349.36,224.49,1.4244,0.34932
397.74,278.71,1.3599,0.36424
368.53,259.18,1.3205,0.2984
369.98,288.41,1.3025,0.34213
364.49,237.89,1.4054,0.28285
379.31,254.97,1.386,0.30893
370.18,259.61,1.3729,0.29416
356.83,217.67,1.4696,0.34309
382.71,263.94,1.3477,0.33947
394.58,282.51,1.3632,0.36498
396.45,247.59,1.4478,0.311
332.19,229.17,1.3501,0.34758
282.98,182.3,1.4896,0.33131
349.97,221.84,1.5257,0.38849
399.2,228.16,1.561,0.31516
375.48,216.91,1.5779,0.33232
381.1,248.65,1.4316,0.32979
378.17,244.09,1.4397,0.34876
294.04,183.02,1.5665,0.29946
246.01,157.51,1.6333,0.30099
264.92,172.32,1.6117,0.37388
352.81,199.08,1.6271,0.32969
335.47,209.16,1.5267,0.28876
389.68,331.86,1.2052,0.3401
385.47,233.68,1.5267,0.29312
351.75,189.06,1.7037,0.37528
384.17,245.7,1.444,0.37178
383.3,267.19,1.3165,0.35775
368.57,250.66,1.4513,0.32203
381.34,231.94,1.4753,0.34341
371.48,249.3,1.4489,0.29539
308.38,185.1,1.6225,0.31374
375.74,203.67,1.6858,0.28748
350.66,260.33,1.3628,0.31168
354.32,253.5,1.372,0.35602
345.32,231.47,1.4164,0.38128
395.02,261,1.4541,0.34959
351.73,212.11,1.5034,0.3615
372.93,274.22,1.3401,0.34379
270.19,175.36,1.503,0.32467
292.79,192.94,1.512,0.29182
380.44,298.42,1.3817,0.38077
356.27,214.89,1.5387,0.2986
343.42,217.98,1.4989,0.29045
367.02,215.84,1.5338,0.36138
387.87,276.04,1.3743,0.3798
363.5,194.61,1.5652,0.36545
325.67,195.5,1.4776,0.33674
295.82,206.1,1.4605,0.33852
387.49,237.91,1.4927,0.37924
376.5,216.48,1.559,0.34752
343.64,216.94,1.5024,0.32065
279.21,175.22,1.5479,0.27604
316.55,211.6,1.5174,0.30233
362.74,224.25,1.4924,0.39687
350.9,209.84,1.5542,0.34854
383.07,273.2,1.3413,0.38075
382.86,217.76,1.595,0.34717
347.56,231.89,1.3918,0.38518
246.01,157.51,1.6333,0.30099
327.37,201.45,1.5113,0.32642
394.58,272.17,1.3635,0.29601
244.31,156.63,1.5397,0.38393
364.16,212.83,1.569,0.3409
242.39,136.84,1.7604,0.34049
396.69,248.77,1.4408,0.31252
346.09,233.39,1.4302,0.36167
387.25,280.73,1.4066,0.31804
398.31,295.1,1.3191,0.30435
359.46,221.02,1.5549,0.32261
377.31,209.55,1.6009,0.34743
277.01,158.01,1.702,0.31852
305.62,190.28,1.5489,0.35465
322.07,230.29,1.3878,0.31242
296.01,168.86,1.6488,0.40126
364.46,196.49,1.5791,0.39137
313.29,204.54,1.5822,0.3671
342.42,200.49,1.4668,0.40698
329.89,222.22,1.4625,0.35876
271.34,171.14,1.5917,0.34813
332.23,198.9,1.5461,0.32893
317.82,204.34,1.4791,0.29881
308.56,194.51,1.4394,0.37186
350.07,235.61,1.4667,0.40888
271.6,178.82,1.5314,0.37394
355.43,200.8,1.6568,0.38842
324.42,216.05,1.5553,0.36056
344.78,200.87,1.5872,0.34427
323.16,200.32,1.5164,0.38964
381.16,234.85,1.5271,0.31315
387.6,223.48,1.4974,0.33765
336.1,211.77,1.4848,0.37794
355.43,238.25,1.4402,0.3761
247.56,167.64,1.5593,0.35174
343.09,245.05,1.3954,0.33286
372.08,245.7,1.4293,0.31812
363.11,225.77,1.523,0.3108
358.86,247.77,1.4797,0.34999
360.63,224.17,1.4885,0.36442
354.08,222.91,1.5146,0.28526
259.26,175.64,1.4662,0.33426
374.19,240.89,1.4804,0.28335
320.45,224.42,1.3808,0.28497
384.11,305.16,1.2432,0.37744
387.6,261.27,1.4197,0.34182
394.23,254.95,1.479,0.29696
388.07,243.31,1.4777,0.31949
344.84,229.56,1.3514,0.41185
317.42,209.45,1.5137,0.3154
321.31,228.08,1.4326,0.27776
366.55,220.95,1.5073,0.34571
392.62,288.61,1.3291,0.39206
337,223.59,1.4308,0.35398
363.37,222.21,1.5234,0.32872
345.5,241.35,1.3966,0.32786
394.42,254.65,1.466,0.35855
348.5,235.49,1.4313,0.31053
377.87,225.19,1.5803,0.32103
315.49,200.49,1.3961,0.38225
314.03,196.96,1.4984,0.35392
317.95,200,1.394,0.39898
283.49,185.03,1.4925,0.34573
273.37,166.94,1.4499,0.36878
364.03,238.91,1.4338,0.39253
371.62,217.84,1.5349,0.31875
363.15,259.62,1.4079,0.34964
374.53,244.78,1.4861,0.31935
296.5,168.89,1.6538,0.40415
305.49,199.58,1.4236,0.33783
324.41,195.3,1.5844,0.34458
365.39,290.22,1.2717,0.33248
338.03,241.27,1.365,0.31646
255.16,154.17,1.683,0.31302
380.9,254.26,1.4274,0.30132
359.9,223.63,1.4918,0.32249
365.26,220.91,1.5063,0.33961
323.62,205.42,1.5083,0.36217
367.93,266.01,1.3891,0.31863
368.72,245.19,1.4527,0.28742
373.35,210.64,1.5653,0.3282
385.65,239.63,1.5048,0.34647
340.37,206.44,1.5463,0.35455
308.51,192.4,1.5352,0.374
391.38,244.03,1.5493,0.34372
348.48,202.27,1.5708,0.28361
318.77,185.03,1.5716,0.35805
383.86,242.49,1.5541,0.35024
399.03,261.36,1.4616,0.28878
395.79,250.09,1.4433,0.37446
294.19,192.15,1.525,0.33762
371.26,233.4,1.4849,0.34028
235.71,150.45,1.5562,0.38757
290.07,185.39,1.5603,0.30224
315.21,208.98,1.4978,0.28391
304.75,202.2,1.4856,0.33209
317.08,225.65,1.3874,0.33689
341,233.2,1.3567,0.3356
387.48,326.87,1.2692,0.37269
342.44,180.95,1.7348,0.33082
396.54,248.51,1.5146,0.35182
360.14,240.12,1.4285,0.3103
331.64,231.11,1.4318,0.3349
326.26,205.82,1.5079,0.35769
291.9,198.3,1.4736,0.38154
379.86,234.02,1.5163,0.37422
370.61,264.84,1.3708,0.32179
398.38,292.72,1.3671,0.38292
282.06,189.84,1.5837,0.34675
399.84,240.69,1.5366,0.35585
394.68,240.45,1.4969,0.32935
376.5,238.14,1.3946,0.36765
385.75,239.32,1.4794,0.32781
296.17,182.08,1.5154,0.32938
393.3,276.74,1.3369,0.32627
292.16,187.89,1.5185,0.28059
313.14,224.94,1.4032,0.33978
333.96,191.45,1.6049,0.39626
349.78,230.59,1.4466,0.33317
342.33,179,1.6433,0.4423
